Question,Answer
What if I lose my ID card?,Report loss immediately and apply for a duplicate with a fee of 500.
What if I develop a disability during my studies?,Contact Disability Services immediately for support and accommodations.
What if I fail a required course?,You must retake and pass the course to meet graduation requirements.
How should recommendation letters be submitted?,Recommenders submit directly via the link provided in your application.
Are there counseling services?,"Yes, confidential counseling for personal, academic, career issues."
Can I get attendance exemption for medical reasons?,"Yes, with proper medical certificates submitted to the academic office."
Can alumni access campus facilities?,Alumni can access certain facilities with alumni membership.
Can I reuse my own previous work?,Must cite your previous work; check with instructor.
Is there support for students with learning disabilities?,"Yes, the Academic Support Center provides accommodations."
Can I audit a course?,"Yes, you can audit courses with instructor permission; they don't count toward your GPA."
Is attendance tracked for online classes?,"Yes, participation in online classes is tracked and counted toward attendance."
How do I reset my student portal password?,Use the forgot password feature or contact IT support.
What languages are taught?,"Foreign language courses in French, German, Spanish, and Japanese."
Is complaint filing anonymous?,Anonymous complaints are accepted but may be harder to investigate.
Is parking available on campus?,"Yes, separate parking for two-wheelers and four-wheelers."
How do I check which classes I've missed?,Detailed attendance reports are available by course on the student portal.
Is there a library orientation?,"Yes, orientations are conducted at the start of each semester."
Where are the assembly points?,Marked on campus maps; signage in all buildings.
When do I need to declare my major?,Major declaration deadline is end of sophomore year (4th semester).
What if I forget my ID card?,Temporary access may be granted; repeated incidents may face action.
What is an independent study course?,A customized course done under faculty supervision for advanced research.
What room options are available?,"Single, double, and triple occupancy rooms are available."
Can I view my attendance online?,"Yes, real-time attendance is available on the student portal."
When are the mid-semester exams?,Mid-sem exams are typically held in weeks 8-9 of each semester.
Can I apply to multiple companies?,"Yes, but there are restrictions once you receive an offer (dream/super-dream policy)."
Can I receive a scholarship if I'm a transfer student?,"Yes, transfer students are eligible for scholarships based on their academic records."
How do I register for training programs?,Registration is automatic for eligible students through the placement portal.
Are startups part of campus placements?,"Yes, we actively invite innovative startups along with established companies."
Is there campus police?,24/7 security personnel; local police station nearby.
Can special dietary needs be accommodated?,"Yes, inform dining services about allergies/requirements."
What citation style should I use?,"Depends on department; common ones are APA, MLA, IEEE, Chicago."
Are there options for vegetarian/vegan students?,"Yes, extensive veg/vegan options in all dining facilities."
Can I use my family's health insurance?,"Yes, if it provides adequate coverage in this area."
How much funding can I receive from scholarships?,Scholarship amounts range from 25% to 100% tuition coverage depending on the type.
What if I'm struggling in a course?,"Seek help from professor, TA, tutoring center, or academic advisor."
Are there group discussion practice sessions?,"Yes, GD sessions are conducted regularly as part of training."
Can I challenge a grade I think is unfair?,"Yes, follow the grade appeal process through your department."
Is smoking allowed on campus?,"No, the campus is completely smoke-free."
How do I pay the application fee?,Payment can be made online through the application portal.
What are the bus timings?,Buses run from 7 AM to 9 PM with multiple trips throughout the day.
How do I get my degree certificate?,Degree certificates are distributed at convocation or can be collected later.
How do transfer credits affect my GPA?,Transfer credits count toward graduation but not GPA calculation.
What is the minimum GPA required for merit scholarships?,A minimum GPA of 3.5 is required for merit-based scholarships.
What research facilities are available?,"State-of-the-art labs for engineering, sciences, and humanities research."
Is there a processing fee for online payments?,"Yes, a nominal processing fee of 1.5% applies to online transactions."
Can I bring my pet to campus?,Pets are not allowed in academic buildings or hostels.
When do I need to submit financial documents?,Financial documents are due before visa processing or enrollment.
Do I need my ID for campus events?,"Yes, ID verification is required for most campus events."
What emergency numbers should I know?,"Campus security: ext. 1000, Medical: ext. 1001, Fire: 101"
Can I submit documents online?,"Yes, documents can be uploaded through the admission portal."
Is there a complaint against faculty procedure?,"Yes, follow the academic grievance procedure through department head."
Is the campus disability-friendly?,"Yes, we have ramps, elevators, and accessible facilities."
What are the core course requirements?,Core requirements vary by program; check your department handbook.
Are there study abroad opportunities?,"Yes, exchange programs with partner universities worldwide."
Is there a lost and found?,"Yes, at the Security Office in the Administration building."
What documents are needed for refund processing?,"You need to submit a withdrawal form, fee receipt, and bank details."
Is there Wi-Fi in the library?,"Yes, high-speed Wi-Fi is available throughout the library."
How do I apply for leave?,Submit a leave application through the student portal at least 3 days in advance.
Is there bicycle parking?,"Yes, dedicated bicycle stands are available near all buildings."
How do I get my student ID card?,ID cards are issued during orientation week.
What is the deadline for housing applications?,Housing applications should be submitted within two weeks of admission acceptance.
Does the ID card work for hostel access?,"Yes, it's used for biometric access to hostels."
How do I find my course syllabus?,Syllabi are posted on the learning management system at semester start.
What is the minimum grade for course credit?,"Generally D or higher, but major courses may require C or better."
How do I file a complaint?,Submit complaints through the grievance portal or Student Affairs office.
Does the university help with internship placements?,"Yes, our Placement Cell actively coordinates with companies for internship opportunities."
What databases are available?,"IEEE, ACM, JSTOR, ScienceDirect, and many more."
What happens if a required course isn't offered?,Contact your academic advisor for alternative options.
Can I replace a worn-out ID card?,"Yes, for a replacement fee if visibly damaged."
What are the hostel rules?,"Rules include curfew timings, visitor policies, and conduct guidelines."
What constitutes plagiarism?,"Using others' work without citation, self-plagiarism, paraphrasing without credit."
What if I need to leave the hostel permanently?,Submit a vacation request with proper notice to get deposit refund.
What amenities are provided in hostels?,"Bed, study table, chair, wardrobe, and internet connectivity."
When do I register for courses?,Course registration opens 4 weeks before semester start.
What is a Withdrawal (W) grade?,W indicates dropping a course after add/drop but before deadline; doesn't affect GPA.
What industries recruit most from our university?,"IT, consulting, finance, manufacturing, and research sectors."
What if my ID card is damaged?,Apply for a replacement card with a nominal fee.
What is the revaluation fee?,The revaluation fee is 500 per course.
What is the conversion rate from internship to full-time?,Approximately 40-50% interns receive PPOs.
What if I get sick during exams?,Visit health center; they'll provide medical certificate if needed.
What companies visit campus for internship recruitment?,"Top companies from IT, finance, consulting, and manufacturing sectors visit annually."
Can I join clubs if I'm on probation?,"Leadership positions are restricted, but membership is generally allowed."
Can I borrow books from the library?,"Yes, students can borrow up to 5 books for 14 days."
Is the campus open during holidays?,Library and some facilities remain open with reduced hours.
Does the library have digital resources?,"Yes, access to e-journals, e-books, and online databases."
When is the Diwali break?,Diwali break is typically 5-7 days around the festival date.
Can alumni help with placement preparation?,"Yes, we have an active alumni mentorship program."
Is there early admission?,"Yes, early decision deadline is typically in November."
Can external participants join our fest?,"Yes, registration is open to students from other institutions."
Are there student ombudspersons?,"Yes, student representatives help mediate certain disputes."
How is attendance calculated?,Attendance is calculated per course based on total classes held vs. attended.
